company_name,sector,city,funding_amount,round,investor,date,country
CleanFuel,Energy,Kolkata,"$17,562,902.53",Series A,Sequoia Capital,2020-01-05,India
MedAssist,Healthcare,Delhi,"$1,957,069.76",Seed,Lightspeed Venture,2023-05-01,India
GreenLeaf Energy,Energy,Chennai,"$33,061,637.21",Series B,Accel Partners,2019-01-15,India
SoilSense,Agriculture,Pune,"$1,497,712.53",Seed,Nexus Venture Partners,2024-10-13,India
SkillUp,Education,Hyderabad,"₹7,012,590.75",Series A,HDFC Capital,2019-06-26,India
GeneTech,Biotechnology,Chennai,73433796.77,Series B,SoftBank Vision Fund,2020-10-19,India
VidLearn,Education,Delhi,"₹7,241,025.10",Bridge,Matrix Partners,2019-12-23,India
BrandBoost,Retail,Chennai,"₹171,410,498.45",Series C,Lightspeed Venture,2022-07-15,India
DataGuard,Cybersecurity,Bangalore,"₹170,339,604.49",Series C,Tiger Global,2022-04-02,India
TrackIt,Logistics,Ahmedabad,"$246,439,706",Series C,Blume Ventures,2022-12-17,India
CryptoVault,Finance,Chennai,533415.95,Seed,Sequoia Capital,2024-08-06,India
FreightX,Logistics,Bangalore,"$1,286,854",Seed,Sequoia Capital,2021-09-28,India
MedAssist,Healthcare,Mumbai,3042653.0,Series A,Peak XV Partners,2023-06-14,India
BioGenix,Biotechnology,Ahmedabad,"$622,325.25",Seed,Sequoia Capital,2020-12-14,India
CleanFuel,Energy,Kolkata,"$17,562,902.53",Series A,Sequoia Capital,2020-01-05,India
TutorBot,Education,Hyderabad,"$862,599.46",Pre-Series A,Matrix Partners,2019-09-18,India
TrackIt,Logistics,Pune,186984303.28,Series C,Nexus Venture Partners,2020-05-10,India
TutorBot,Education,Kolkata,"₹2,497,670.14",Bridge,Kalaari Capital,2024-02-01,India
ShopEase,Retail,Hyderabad,67038513.21,Series B,SoftBank Vision Fund,2020-02-19,India
ThermoGen,Energy,Delhi,,Seed,Blume Ventures,2019-04-14,India
PortEx,Logistics,Gurugram,0,Series A,HDFC Capital,2018-04-21,India
VidLearn,Education,Noida,215380335.17,Series C,Lightspeed Venture,2021-10-29,India
LoanFlow,Finance,Gurugram,5202881.3,Bridge,Sequoia Capital,2021-11-23,India
RetailBot,Retail,Delhi,"₹4,494,618.82",Bridge,Nexus Venture Partners,2019-07-26,India
SecureNet,Cybersecurity,Ahmedabad,"$7,858,585.68",Bridge,HDFC Capital,2022-10-18,India
GreenLeaf Energy,Energy,Delhi,67612979.68,Series B,Peak XV Partners,2022-09-28,India
SolarGrid,Energy,Pune,11138270.14,Series A,Lightspeed Venture,2023-09-11,India
FinEdge,Finance,Mumbai,"$1,339,463",Seed,SoftBank Vision Fund,2019-02-18,India
QuickMart,Retail,Delhi,"₹9,568,034.01",Series A,Tata Capital,2024-05-20,India
DiagnoAI,Healthcare,Hyderabad,"$137,414,606.11",Series C,Sequoia Capital,2020-03-02,India
